Company_ID,Position,Position Source,NTID
4,Senior Developer,https://www.civicsource.com/careers/,4
10,Technical Writer,https://talent.gecareers.com/digital/position/application-operations-engineer-new-orleans-la-1,2
10,Sr Software Engineer,https://talent.gecareers.com/digital/position/quality-assurance-engineer-new-orleans-la-6,4
10,Sr Quality Assurance Engineer,https://talent.gecareers.com/digital/position/software-engineering-specialist-new-orleans-la-6,3
10,Sr Staff Software Architect,https://talent.gecareers.com/digital/position/sr-manager-software-engineering-new-orleans-la-2,4
10,Software Engineer,https://talent.gecareers.com/digital/position/staff-agile-transformer-new-orleans-la-2,4
10,Sr Product Security Analyst,https://talent.gecareers.com/digital/position/technical-writer-new-orleans-la-1,4
10,Sr Software Engineer,https://talent.gecareers.com/digital/position/sr-software-engineer-new-orleans-la-28,4
10,Sr Technical Product Manager,https://talent.gecareers.com/digital/position/sr-quality-assurance-engineer-new-orleans-la-6,2
10,Sr Staff Technical Product Manager,https://talent.gecareers.com/digital/position/sr-staff-software-architect-new-orleans-la-3,2
10,Lead Fpa Analyst,https://talent.gecareers.com/digital/position/software-engineer-new-orleans-la-19,3
10,Sr Software Engineer,https://talent.gecareers.com/digital/position/sr-product-security-analyst-new-orleans-la-1,4
10,Sr Quality Assurance Engineer,https://talent.gecareers.com/digital/position/sr-software-engineer-new-orleans-la-27,3
10,Software Engineer,https://talent.gecareers.com/digital/position/sr-technical-product-manager-new-orleans-la-4,4
10,Lead Services Specialist,https://talent.gecareers.com/digital/position/sr-staff-technical-product-manager-new-orleans-san-ramon-united-states,2
10,Sr Software Engineer,https://talent.gecareers.com/digital/position/lead-fpa-analyst-new-orleans-la,4
10,Staff Agile Transformer,https://talent.gecareers.com/digital/position/sr-software-engineer-new-orleans-la-24,2
10,Sr Build Release Engineer ,https://talent.gecareers.com/digital/position/sr-quality-assurance-engineer-new-orleans-la-3,4
10,Staff Digital Auditor,https://talent.gecareers.com/digital/position/software-engineer-new-orleans-la-15,3
10,Senior Software Engineer,https://talent.gecareers.com/digital/position/lead-services-specialist-1-digital-application-services-houston-san-ramon-new-orleans-united-states,4
10,Technical Sourcer Digital Technology,https://talent.gecareers.com/digital/position/sr-software-engineer-new-orleans-la-19,2
10,Staff Agile Transformer,https://talent.gecareers.com/digital/position/staff-agile-transformer-new-orleans-la-1,2
10,Sr Build Release Engineer ,https://talent.gecareers.com/digital/position/sr-build-release-engineer-new-orleans-la-1,4
10,Senior Software Engineer ,https://talent.gecareers.com/digital/position/senior-software-engineer-new-orleans-la-usa-1,4
14,UI Artist,https://highvoltagesoftware.bamboohr.com/jobs/view.php?id=17,1
18,Software Development Team Lead,https://www.iseatz.com/assets/Software_Development_Team_Lead.pdf,2
18,DevOps Engineer,https://www.iseatz.com/assets/DevOps%20Engineer.pdf,2
18,Software Test Engineer,https://www.iseatz.com/assets/Software_Test_Engineer.pdf,3
18,Senior Software Developer,https://www.iseatz.com/assets/Senior_Software_Developer_JD.pdf,4
